ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P25;29/04/25;8:50;pietons;vers gallia;tous les jours;travail/etudes;;oui;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;amenagement - ;probleme avec les voitures;;;;oui;;trop frequente;null;null;oui;null;null;null;null;;agreable;satisfaisant;;femme;20-40
P26;29/04/25;8:55;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;attention ;;homme;moins de 20
P27;29/04/25;9:00;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;dangereux;anarchie ;encombre;femme;60 et plus
P28;29/04/25;9:05;pietons;vers gallia;tous les jours;autre;habitation;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;;;;;;oui;weekend;trop frequente;null;null;null;null;oui;oui;null;;beau;bazard;bonde;homme;20-40
P29;29/04/25;9:07;pietons;sans reponse;tous les jours;activites/loisirs;;null;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;;;;;;non;;;null;null;null;null;null;null;null;;dangereux;;;femme;60 et plus
P30;29/04/25;9:10;pietons;vers corbeau;toutes les semaines;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;individualiste;incoherent;force;femme;40-60
P31;29/04/25;9:10;pietons;vers gallia;tous les jours;promenade;;oui;null;null;oui;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement - ;probleme avec les voitures;vitesse cyclistes;;;oui;le matin ;trop frequente;null;oui;null;null;oui;null;null;;vigilant;crainte;;homme;20-40
P32;29/04/25;9:15;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;null;null;null;null;;convivial;securisant;bien;homme;moins de 20
P33;29/04/25;9:15;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;vitesse cyclistes;absence de separation;;non;;;null;null;null;null;null;null;null;;terrible;;;femme;40-60
P34;29/04/25;9:20;pietons;vers corbeau;toutes les semaines;travail/etudes;;null;oui;null;null;null;;pas du tout d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;oui;null;null;oui;null;null;null;;insecurite;derange;irrespect;femme;40-60
P35;29/04/25;9:20;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;;;;;;oui;weekend;trop frequente;oui;null;null;null;null;null;null;;encombre;propre;peuple;femme;20-40
P36;29/04/25;9:25;pietons;vers corbeau;toutes les semaines;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;bruyant;dangereux;;homme;60 et plus
P37;29/04/25;9:30;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;amenagement - ;absence de separation;;;;non;;;oui;null;null;null;null;null;null;;super;inquiet ;agreable;femme;40-60
P38;29/04/25;9:30;pietons;sans reponse;tous les jours;travail/etudes;;oui;oui;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;60 et plus
P39;29/04/25;9:30;pietons;sans reponse;moins souvent;promenade;;null;null;oui;oui;null;;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;probleme avec les vehicule electrique (trotinettes,velos);;;non;;;null;null;null;null;null;null;null;;tres dangereux;pas sereine;null respect;femme;60 et plus
P40;29/04/25;9:30;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;amenagement +;comportement derangeant cyclistes;amenagements bien adaptes;;;non;;;null;null;null;null;null;null;null;;agreable;convivial;frequente;femme;20-40
P41;29/04/25;9:35;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;amenagement - ;manque de signaletique;conflits/tensions;;;non;;;null;null;null;null;null;null;null;;dangereux;agreable;;femme;40-60
P42;29/04/25;9:35;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;amenagement - ;absence de separation;vitesse livreurs a velo;;;non;;;null;null;null;null;null;null;null;;agreable;rapide;pas ensoleille;femme;40-60
P43;29/04/25;9:35;pietons;sans reponse;moins souvent;travail/etudes;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse cyclistes;vitesse livreurs a velo;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;40-60
P44;29/04/25;9:40;pietons;vers corbeau;toutes les semaines;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;densite frequentation - ;trop de pietons;conflits/tensions;;;non;;;oui;null;null;oui;null;null;null;;agreable;libre;utile;homme;40-60
P45;29/04/25;9:45;pietons;vers gallia;tous les jours;promenade;;null;null;null;null;oui;habitation;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse cyclistes;;;;non;;;oui;null;null;null;null;oui;null;;pas securite;pas agreable;;femme;60 et plus
P46;29/04/25;9:45;pietons;sans reponse;moins souvent;travail/etudes;;null;null;null;null;oui;par hasard;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;fourre tout;;;homme;20-40
P47;29/04/25;9:46;pietons;vers gallia;tous les jours;promenade;;null;oui;null;oui;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse cyclistes;pietons trop lents;;;non;;;oui;oui;null;oui;oui;oui;null;;agreable;tolerance reciproque;;homme;60 et plus
P48;29/04/25;9:47;pietons;vers gallia;tous les jours;travail/etudes;;oui;oui;oui;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;probleme avec les voitures;;;non;;;null;null;null;null;null;null;null;;individualiste;dangereux;agreable;homme;moins de 20
P49;29/04/25;9:50;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse livreurs a velo;vitesse cyclistes;;;non;;;null;null;null;null;null;null;null;;efficace;perilleux;;homme;moins de 20
P50;29/04/25;9:54;pietons;vers corbeau;toutes les semaines;travail/etudes;;oui;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;densite frequentation - ;trop de monde en general;;;;non;;;null;null;null;null;null;null;null;;difficile;dangereux;individualiste;femme;40-60
P51;29/04/25;9:55;pietons;vers gallia;tous les jours;travail/etudes;;oui;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable ;encombre;;homme;moins de 20
P52;29/04/25;10:00;pietons;sans reponse;toutes les semaines;activites/loisirs;;null;null;null;null;oui;destination;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;amenagement - ;manque de signaletique;;;;non;;;null;null;null;null;null;null;null;;agreable;calme;;homme;moins de 20
P53;29/04/25;10:00;pietons;sans reponse;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;fluide;pas de soucis;neutre;homme;60 et plus
P54;29/04/25;10:02;pietons;vers corbeau;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;comportement - ;comportement derangeant cyclistes;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;cohabitation;;femme;40-60
P55;29/04/25;10:05;pietons;vers gallia;tous les jours;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;oui;null;null;;reposant;agreable;;homme;60 et plus
P56;29/04/25;10:05;pietons;vers gallia;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;null;null;null;null;;agreable;pratique;;femme;moins de 20
P57;29/04/25;10:07;pietons;vers gallia;toutes les semaines;travail/etudes;;null;oui;oui;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;60 et plus
P58;29/04/25;10:10;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;oui;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;comportement - ;probleme avec les voitures;;;;non;;;null;null;null;null;null;null;null;;agreable;rapide;;homme;20-40
P59;29/04/25;10:10;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;null;null;null;oui;destination;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;ne sait pas;densite frequentation - ;trop de cyclistes;;;;oui;;trop frequente;null;null;null;null;null;null;null;;bien;plaisant;serein;ne sait pas;60 et plus
P60;29/04/25;10:15;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;probleme avec les voitures;;;;non;;;null;null;null;null;oui;null;null;;change;agreable ;;femme;20-40
P61;29/04/25;10:17;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;comportement - ;conflits/tensions;;;;oui;samedi;trop frequente;null;oui;null;null;null;null;null;;apaisant;reposant;plaisant;homme;40-60
P62;29/04/25;10:19;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;sans reponse;plutot d'accord;amenagement - ;manque de signaletique;;;;non-concerne;;;null;null;null;null;null;null;null;;securise;attentif;attention;homme;20-40
P63;29/04/25;10:20;pietons;sans reponse;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;manque de signaletique;;;;non;;;null;null;null;null;null;null;null;;beau;cohabitation;;femme;60 et plus
P64;29/04/25;10:20;pietons;vers corbeau;moins souvent;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;densite frequentation - ;trop de monde en general;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;convivial;pratique;femme;60 et plus
P65;29/04/25;10:20;pietons;vers gallia;premiere fois;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;sans reponse;comportement;absence de separation;;;;non-concerne;;;null;null;null;null;null;null;null;;surprenant;;;homme;moins de 20
P66;29/04/25;10:22;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;vitesse livreurs a velo;;;non-concerne;;;null;null;null;null;null;null;null;;relaxant;fluide;;femme;60 et plus
P67;29/04/25;10:25;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;comportement;;;;;non-concerne;;;null;null;null;null;null;null;null;;plaisant;;;femme;60 et plus
P68;29/04/25;10:25;pietons;sans reponse;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;comportement + ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;oui;null;;jolie vue;risque;;homme;moins de 20
P69;29/04/25;10:26;pietons;vers gallia;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;;;;;;non;;;null;null;null;null;null;null;null;;agreable;jolie;;homme;moins de 20
P70;29/04/25;10:30;pietons;vers corbeau;moins souvent;promenade;;null;null;oui;null;oui;car c'est pieton;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;ne sait pas;plutot d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;calme;;;homme;20-40
P71;29/04/25;10:31;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;aggresivite cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;60 et plus
P72;29/04/25;10:35;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;printanier;;femme;ne sait pas 
P73;29/04/25;10:37;pietons;vers corbeau;tous les jours;autre;recuperer son enfant;null;null;null;oui;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;aggresivite cyclistes;comportement derangeant cyclistes;;;oui;quand il y a du monde;trop frequente;oui;oui;null;null;null;null;oui;livreur palette;stressant;epuisant;fatiguant;femme;40-60
P74;29/04/25;10:40;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;;;;;;non;;;null;null;null;null;null;null;null;;agreable;;;homme;moins de 20
P75;29/04/25;10:40;pietons;vers gallia;tous les jours;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;comportement - ;trop de monde en general;vitesse cyclistes;;;non;;;null;oui;null;oui;null;null;null;;reguliere;pas agreable;bien refait;femme;60 et plus
P76;29/04/25;10:40;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;oui;null;;plutot d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;;;;;;non;;;oui;null;null;oui;null;null;null;;magique;convivial;rencontre;femme;60 et plus
P77;29/04/25;10:42;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;amenagement - ;absence de separation;manque de signaletique;;;non-concerne;;;null;null;null;null;null;null;null;;confus;;;femme;20-40
P78;29/04/25;10:45;pietons;vers gallia;tous les jours;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;conflits/tensions;;;;oui;quand il y a du monde;;null;null;null;null;null;null;null;;debile;dommage;absurde;homme;60 et plus
